State,County,Date,AQI,AQI_cat,co,ozone,no2,so2,wind,temp,humid,pressure,no
Alabama,Jefferson,2022-03-01,64,Moderate,0.4219696666666667,0.025941,18.1772725,0.93854175,6.6354165,50.7145835,44.75,1000.691667,37.774621
Alabama,Jefferson,2022-03-02,77,Moderate,0.5131733333333334,0.029987200000000002,23.487879,0.564236,6.8354165,57.545833,40.875,1000.104167,55.678788
Alabama,Jefferson,2022-03-05,83,Moderate,0.14791675,0.0468118,7.362500000000001,0.5291665,11.2229165,68.4958335,41.25,1001.85625,1.9291669999999999
Alabama,Jefferson,2022-03-06,51,Moderate,0.04375,0.0322704,4.5604165,0.0666665,10.7020835,68.67916650000001,54.75,1000.4229165,1.7708335000000002
Alabama,Jefferson,2022-03-08,34,Good,0.053125,0.021892166666666667,4.4091664999999995,-0.016666750000000004,12.14625,47.16875,62.866667,995.2591665,1.0329165
Alabama,Jefferson,2022-03-11,58,Moderate,0.20995075,0.031049,11.6125,0.30625,7.7520835,56.806250000000006,59.291667,991.1312499999999,12.181249999999999
Alabama,Jefferson,2022-03-14,63,Moderate,0.1489585,0.037235333333333336,15.645833,0.18020825000000001,7.9729165,53.443749999999994,33.041667,1005.7416665000001,8.966987333333334
Alabama,Jefferson,2022-03-15,61,Moderate,0.08854175,0.031323833333333335,10.963889,0.0625,11.20625,54.88125,57.375,998.5958335,1.503241
Alabama,Jefferson,2022-03-17,58,Moderate,0.320235,0.035108,14.8022725,0.41197075,9.685417,60.8395835,58.25,993.9000000000001,27.560985
Alabama,Jefferson,2022-03-21,60,Moderate,0.2895835,0.049833333333333334,12.372917000000001,0.33333325,7.793749999999999,61.9958335,37.041667,1000.26875,10.040277666666666
Alabama,Jefferson,2022-03-22,56,Moderate,0.16428575,0.0359775,5.186775,0.28125,12.571105,66.1451085,51.208333,990.9696555,1.185326
Alabama,Jefferson,2022-03-24,49,Good,0.217799,0.03448983333333333,13.74221,0.21772775,9.1083335,54.9375,45.5,992.404167,9.636473333333333
Alabama,Jefferson,2022-03-28,49,Good,0.190625,0.0380295,8.45,0.41354175,6.3729165000000005,57.991666499999994,37.125,998.6895835,0.980278
Alabama,Jefferson,2022-03-29,63,Moderate,0.186563,0.04341183333333333,10.639079,0.35026325,8.720833500000001,64.7520835,44.291667,996.6770835,2.2433186666666667
Alabama,Jefferson,2022-03-31,35,Good,0.13111275,0.0268625,6.9711625,-0.0716555,11.3604165,57.320833,57.791667,987.0229165000001,3.1807016666666668
Alabama,Jefferson,2022-04-02,52,Moderate,0.32708333333333334,0.026715666666666665,14.3625,0.546875,6.268750000000001,55.69375,45.5,996.177083,7.193055666666666
Alabama,Jefferson,2022-04-03,53,Moderate,0.30416666666666664,0.031588333333333336,9.04375,0.23333325,8.1833335,57.075,44.666667,995.4145834999999,9.581944666666667
